Corner,cap_scs,mos_scs,res_scs,vdd,vss,AC_Gain_abs,AC_Gain_at_DC,BW_3dB,PM,Z_in,Z_out,DC_Bias_Output,In_Ref_noise,PSRR_P_1MHz,PSRR_N_1MHz,Vout_Mid_Point,Max_Vout_Sin,Min_Vout_Sin,SlewRate_Pos,SlewRate_Neg,HD2,HD3,Vout_Swing
Proc_Vol_min_70,wp,ws,tm,2.25,-2.75,8.29,18.37,99330000,66.93,3296000,1570,-0.4135,4.659e-08,2.36e-07,2.657e-07,-0.426,0.3769,-1.229,239400000,-245500000,-54.54,-54.88,1.606
Proc_Vol_min_71,wp,ws,tm,2.75,-2.75,10.62,20.52,129900000,55.38,3322000,1212,-0.05026,4.355e-08,2.208e-07,2.596e-07,-0.1079,0.898,-1.114,516000000,-520100000,-41.26,-48.07,2.012
Proc_Vol_min_72,ws,ws,tm,2.5,-2.5,9.398,19.46,116000000,60.09,3286000,1357,-0.0223,4.432e-08,2.242e-07,2.575e-07,-0.06076,0.8308,-0.9523,368700000,-379000000,-44.78,-49.41,1.783
Proc_Vol_min_73,ws,ws,tm,2.25,-2.5,7.695,17.72,99310000,69.21,3277000,1569,-0.2034,4.792e-08,2.311e-07,2.624e-07,-0.219,0.5289,-0.9669,231700000,-236800000,-52.6,-56.58,1.496
Proc_Vol_min_74,ws,ws,tm,2.75,-2.5,10.24,20.2,130600000,56.21,3294000,1203,0.1537,4.371e-08,2.183e-07,2.534e-07,0.09144,1.06,-0.8769,512100000,-518800000,-40.59,-48.14,1.937
Proc_Vol_min_75,ws,ws,tm,2.5,-2.25,8.839,18.93,116600000,61.34,3257000,1347,0.181,4.499e-08,2.192e-07,2.535e-07,0.1382,0.9775,-0.7012,361500000,-371700000,-43.85,-50.09,1.679
Proc_Vol_min_76,ws,ws,tm,2.25,-2.25,7.068,16.99,99480000,71.58,3253000,1564,0.004156,4.956e-08,2.255e-07,2.591e-07,-0.01462,0.6747,-0.704,223200000,-228000000,-51.02,-58.5,1.379
Proc_Vol_min_77,ws,ws,tm,2.75,-2.25,9.805,19.83,131500000,57.16,3256000,1191,0.3534,4.392e-08,2.142e-07,2.485e-07,0.2856,1.211,-0.6399,508000000,-515800000,-39.86,-48.21,1.851
Proc_Vol_min_78,ws,ws,tm,2.5,-2.75,9.9,19.91,115600000,58.98,3309000,1363,-0.2289,4.38e-08,2.281e-07,2.619e-07,-0.2634,0.6753,-1.202,375200000,-384400000,-45.72,-48.85,1.877
Proc_Vol_min_79,ws,ws,tm,2.25,-2.75,8.29,18.37,99330000,66.93,3296000,1570,-0.4135,4.659e-08,2.36e-07,2.657e-07,-0.426,0.3769,-1.229,239400000,-245500000,-54.54,-54.88,1.606
Proc_Vol_min_80,ws,ws,tm,2.75,-2.75,10.62,20.52,129900000,55.38,3322000,1212,-0.05026,4.355e-08,2.208e-07,2.596e-07,-0.1079,0.898,-1.114,516000000,-520100000,-41.26,-48.07,2.012
Proc_Vol_min_81,tm,wo,tm,2.5,-2.5,6.358,16.07,135300000,72.29,3357000,1323,-0.1549,5.607e-08,2.277e-07,2.608e-07,-0.1674,0.4586,-0.7933,322600000,-317800000,-54.62,-64.18,1.252
Proc_Vol_min_82,tm,wo,tm,2.25,-2.5,4.609,13.27,118300000,84.21,3349000,1521,-0.3392,6.936e-08,2.355e-07,2.651e-07,-0.3418,0.118,-0.8015,212200000,-209300000,-68.18,-94.54,0.9195
Proc_Vol_min_83,tm,wo,tm,2.75,-2.5,8.168,18.24,150400000,62.63,3365000,1179,0.02351,4.866e-08,2.209e-07,2.577e-07,-0.007241,0.7784,-0.7928,445600000,-442300000,-46.72,-53.34,1.571
Proc_Vol_min_84,tm,wo,tm,2.5,-2.25,5.871,15.37,135900000,74.92,3331000,1315,0.05094,5.814e-08,2.233e-07,2.567e-07,0.03695,0.6161,-0.5422,315800000,-311300000,-53.58,-66.37,1.158
Proc_Vol_min_85,tm,wo,tm,2.25,-2.25,4.202,12.47,118300000,87.24,3328000,1519,-0.1295,7.308e-08,2.303e-07,2.619e-07,-0.1333,0.2862,-0.5528,204600000,-202000000,-64.89,-88.13,0.839
