Corner,VDD,VSS,cap_scs,mos_scs,res_scs,DCGain,GBW,PM,Zin_val,Zout_val,ICMR_Max,ICMR_Min,Out_Swing_Max,Out_Swing_Min,PSRR_VDD_1MHz,PSRR_VSS_1MHz,Vout_Sin_Max,Vout_Sin_Min,Iout_Sin_Max,Iout_Sin_Min
PV_58,2.5,-2.5,tm,ws,tm,34,7076000,70.57,10200000,4.745,2.088,-2.053,2.318,-2.053,4.429e-05,0.0001127,1.479,-1.514,0.03028,-0.02959
PV_59,2.75,-2.5,tm,ws,tm,31.94,6324000,74.66,9490000,4.389,2.295,-2.157,2.556,-2.157,4.95e-05,0.0001292,1.48,-1.515,0.0303,-0.0296
PV_60,2.25,-2.75,tm,ws,tm,34.92,7840000,68.78,10130000,4.749,1.858,-2.149,2.069,-2.149,3.811e-05,0.0001003,1.476,-1.515,0.03029,-0.02952
PV_61,2.5,-2.75,tm,ws,tm,34.4,8040000,70.78,9644000,4.393,2.071,-2.308,2.306,-2.308,3.715e-05,9.946e-05,1.478,-1.515,0.0303,-0.02956
PV_62,2.75,-2.75,tm,ws,tm,32.08,6951000,74.81,8954000,4.089,2.278,-2.402,2.543,-2.402,4.274e-05,0.0001174,1.479,-1.516,0.03031,-0.02958
PV_63,2.25,-2.25,wp,ws,tm,33.41,5606000,70.06,11360000,5.677,1.888,-1.631,2.092,-1.631,5.792e-05,0.0001404,1.478,-1.46,0.0292,-0.02957
PV_64,2.5,-2.25,wp,ws,tm,33.43,6064000,71.13,10810000,5.164,2.103,-1.801,2.33,-1.801,5.314e-05,0.0001309,1.48,-1.479,0.02957,-0.02961
PV_65,2.75,-2.25,wp,ws,tm,31.67,5624000,74.83,10080000,4.741,2.311,-1.913,2.568,-1.913,5.745e-05,0.0001452,1.481,-1.487,0.02973,-0.02962
PV_66,2.25,-2.5,wp,ws,tm,34.24,6688000,69.36,10700000,5.17,1.874,-1.886,2.081,-1.886,4.687e-05,0.0001171,1.477,-1.511,0.03023,-0.02955
PV_67,2.5,-2.5,wp,ws,tm,34,7086000,70.55,10190000,4.745,2.088,-2.053,2.318,-2.053,4.434e-05,0.0001126,1.479,-1.514,0.03028,-0.02959
PV_68,2.75,-2.5,wp,ws,tm,31.94,6332000,74.64,9482000,4.389,2.295,-2.157,2.556,-2.157,4.956e-05,0.0001291,1.48,-1.515,0.0303,-0.0296
PV_69,2.25,-2.75,wp,ws,tm,34.92,7852000,68.77,10120000,4.75,1.858,-2.149,2.069,-2.149,3.815e-05,0.0001002,1.476,-1.515,0.03029,-0.02952
PV_70,2.5,-2.75,wp,ws,tm,34.4,8051000,70.77,9635000,4.393,2.071,-2.308,2.306,-2.308,3.72e-05,9.939e-05,1.478,-1.515,0.0303,-0.02956
PV_71,2.75,-2.75,wp,ws,tm,32.08,6959000,74.8,8946000,4.09,2.278,-2.402,2.543,-2.402,4.28e-05,0.0001173,1.479,-1.516,0.03031,-0.02958
PV_72,2.25,-2.25,ws,ws,tm,33.41,5591000,70.08,11380000,5.676,1.888,-1.631,2.092,-1.631,5.78e-05,0.0001406,1.478,-1.46,0.02919,-0.02957
PV_73,2.5,-2.25,ws,ws,tm,33.43,6048000,71.16,10830000,5.163,2.103,-1.801,2.33,-1.801,5.303e-05,0.0001311,1.48,-1.478,0.02957,-0.02961
PV_74,2.75,-2.25,ws,ws,tm,31.67,5609000,74.85,10100000,4.739,2.311,-1.913,2.568,-1.913,5.732e-05,0.0001454,1.481,-1.486,0.02973,-0.02962
PV_75,2.25,-2.5,ws,ws,tm,34.24,6670000,69.39,10720000,5.169,1.874,-1.886,2.081,-1.886,4.677e-05,0.0001172,1.477,-1.511,0.03023,-0.02955
PV_76,2.5,-2.5,ws,ws,tm,34,7066000,70.59,10210000,4.744,2.088,-2.053,2.318,-2.053,4.424e-05,0.0001128,1.479,-1.514,0.03027,-0.02959
PV_77,2.75,-2.5,ws,ws,tm,31.94,6316000,74.67,9499000,4.388,2.295,-2.157,2.556,-2.157,4.944e-05,0.0001293,1.48,-1.515,0.0303,-0.0296
PV_78,2.25,-2.75,ws,ws,tm,34.92,7828000,68.79,10130000,4.749,1.858,-2.149,2.069,-2.149,3.806e-05,0.0001004,1.476,-1.515,0.03029,-0.02952
PV_79,2.5,-2.75,ws,ws,tm,34.4,8029000,70.79,9653000,4.392,2.071,-2.308,2.306,-2.308,3.711e-05,9.953e-05,1.478,-1.515,0.0303,-0.02956
PV_80,2.75,-2.75,ws,ws,tm,32.08,6943000,74.81,8962000,4.089,2.278,-2.402,2.543,-2.402,4.268e-05,0.0001174,1.479,-1.516,0.03031,-0.02958
PV_81,2.25,-2.25,tm,wo,tm,33.43,6055000,70.5,11460000,5.326,1.838,-1.706,2.084,-1.706,5.294e-05,0.0001345,1.477,-1.497,0.02994,-0.02954
PV_82,2.5,-2.25,tm,wo,tm,32.94,6288000,72.25,10840000,4.851,2.051,-1.86,2.323,-1.86,5.108e-05,0.0001319,1.479,-1.505,0.0301,-0.02959
PV_83,2.75,-2.25,tm,wo,tm,30.25,5258000,77.25,10010000,4.458,2.259,-1.95,2.561,-1.95,6.102e-05,0.0001612,1.48,-1.508,0.03017,-0.0296
PV_84,2.25,-2.5,tm,wo,tm,34.19,7227000,69.57,10780000,4.856,1.824,-1.965,2.073,-1.965,4.244e-05,0.0001133,1.476,-1.513,0.03026,-0.02952
PV_85,2.5,-2.5,tm,wo,tm,33.34,7201000,71.89,10180000,4.462,2.036,-2.112,2.311,-2.112,4.258e-05,0.0001155,1.478,-1.514,0.03028,-0.02957
PV_86,2.75,-2.5,tm,wo,tm,30.41,5823000,77.16,9386000,4.131,2.243,-2.193,2.548,-2.193,5.236e-05,0.0001453,pending,pending,pending,pending
PV_87,2.25,-2.75,tm,wo,tm,34.78,8382000,69.6,10170000,4.466,1.808,-2.231,2.06,-2.231,3.399e-05,9.795e-05,1.475,-1.514,0.03027,-0.02949
PV_88,2.5,-2.75,tm,wo,tm,33.55,7992000,72.44,9587000,4.135,2.019,-2.366,2.298,-2.366,3.55e-05,0.0001039,1.477,-1.514,0.03028,-0.02954
PV_89,2.75,-2.75,tm,wo,tm,30.49,6342000,77.08,8833000,3.854,2.225,-2.438,2.535,-2.438,4.444e-05,0.0001331,pending,pending,pending,pending
PV_90,2.25,-2.25,wp,wo,tm,33.43,6063000,70.49,11450000,5.326,1.838,-1.706,2.084,-1.706,5.299e-05,0.0001344,1.477,-1.497,0.02995,-0.02954
PV_91,2.5,-2.25,wp,wo,tm,32.94,6297000,72.23,10830000,4.851,2.051,-1.86,2.323,-1.86,5.114e-05,0.0001318,1.479,-1.505,0.0301,-0.02959
PV_92,2.75,-2.25,wp,wo,tm,30.25,5265000,77.24,10000000,4.458,2.259,-1.95,2.561,-1.95,6.109e-05,0.0001611,1.48,-1.508,0.03017,-0.02961
PV_93,2.25,-2.5,wp,wo,tm,34.19,7238000,69.55,10770000,4.856,1.824,-1.965,2.073,-1.965,4.249e-05,0.0001132,1.476,-1.513,0.03026,-0.02952
PV_94,2.5,-2.5,wp,wo,tm,33.34,7211000,71.89,10170000,4.463,2.036,-2.112,2.311,-2.112,4.263e-05,0.0001154,1.478,-1.514,0.03028,-0.02957
PV_95,2.75,-2.5,wp,wo,tm,30.41,5830000,77.14,9378000,4.132,2.243,-2.193,2.548,-2.193,5.243e-05,0.0001452,pending,pending,pending,pending
PV_96,2.25,-2.75,wp,wo,tm,34.78,8394000,69.59,10160000,4.467,1.808,-2.231,2.06,-2.231,3.404e-05,9.788e-05,1.475,-1.514,0.03027,-0.02949
PV_97,2.5,-2.75,wp,wo,tm,33.55,8003000,72.43,9578000,4.136,2.019,-2.366,2.298,-2.366,3.554e-05,0.0001039,1.477,-1.514,0.03028,-0.02954
PV_98,2.75,-2.75,wp,wo,tm,30.49,6349000,77.07,8825000,3.854,2.225,-2.438,2.535,-2.438,4.45e-05,0.000133,pending,pending,pending,pending
