Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS
PV_min_83,tm,wo,tm,18.46,15560000,55.13,3379000,0.9763,8.378,0.009135,4.862e-08,8.952e-05,0.0001002,-41.44,-49.17,0.03135,0.1568,0.01523,-0.01612,8931000,-10550000,2.75,-2.5
PV_min_84,tm,wo,tm,15.56,13110000,67.82,3344000,1.304,6,0.03771,5.833e-08,0.0001221,0.0001413,-47.57,-63.03,0.02311,0.1156,0.01202,-0.01109,5855000,-6608000,2.5,-2.25
PV_min_85,tm,wo,tm,12.6,11440000,77.18,3341000,1.555,4.267,-0.1412,7.365e-08,0.0001706,0.0002008,-56.22,-74.14,0.01674,0.08369,0.005464,-0.01127,3423000,-3811000,2.25,-2.25
PV_min_86,tm,wo,tm,17.9,14550000,59.43,3346000,1.114,7.856,0.2117,4.966e-08,9.342e-05,0.0001068,-40.86,-50.31,0.02951,0.1475,0.01832,-0.01119,9099000,-10790000,2.75,-2.25
PV_min_87,tm,wo,tm,16.92,15120000,60.31,3392000,0.9865,7.011,-0.3774,5.439e-08,0.0001086,0.0001215,-49.45,-58.28,0.02675,0.1338,0.005603,-0.02115,5794000,-5808000,2.5,-2.75
PV_min_88,tm,wo,tm,14.23,13610000,69.66,3380000,1.141,5.147,-0.5629,6.65e-08,0.0001479,0.0001684,-59.58,-78.05,0.01993,0.09967,-0.001322,-0.02126,3637000,-3829000,2.25,-2.75
PV_min_89,tm,wo,tm,18.94,16860000,51.84,3404000,0.8651,8.849,-0.1988,4.777e-08,8.594e-05,9.496e-05,-42.04,-48.19,0.03303,0.1652,0.01195,-0.02108,8559000,-9933000,2.75,-2.75
PV_min_90,tm,wo,wp,16.29,14130000,63.51,3371000,1.127,6.521,-0.168,5.618e-08,0.000115,0.0001304,-48.46,-60.53,0.02498,0.1249,0.008875,-0.01611,5872000,-6280000,2.5,-2.5
PV_min_91,tm,wo,wp,13.47,12590000,72.85,3363000,1.322,4.715,-0.3506,6.978e-08,0.0001587,0.0001831,-57.77,-75.73,0.01835,0.09175,0.002105,-0.01625,3553000,-3842000,2.25,-2.5
PV_min_92,tm,wo,wp,18.46,15560000,55.13,3379000,0.9763,8.378,0.009135,4.862e-08,8.952e-05,0.0001002,-41.44,-49.17,0.03135,0.1568,0.01523,-0.01612,8931000,-10550000,2.75,-2.5
