Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS
PV_max_343,ws,ws,ws,25.52,10580000,24.03,3439000,1.466,18.87,-0.5948,3.094e-08,4.321e-05,4.809e-05,-19.15,-23.06,0.05993,0.2996,0.02365,-0.03628,4800000,-3112000,2.25,-2.5
PV_max_344,ws,ws,ws,23.96,13960000,30.17,3379000,1.064,15.77,-0.1972,3.617e-08,5.208e-05,5.633e-05,-37.78,-36.33,0.05693,0.2847,0.02428,-0.03266,13270000,-13080000,2.75,-2.5
PV_max_345,ws,ws,ws,24.51,11440000,28.01,3372000,1.437,16.8,-0.1732,3.354e-08,4.758e-05,5.307e-05,-27.54,-27.11,0.05797,0.2898,0.02688,-0.03109,9154000,-8502000,2.5,-2.25
PV_max_346,ws,ws,ws,25.39,9711000,26.21,3424000,1.732,18.59,-0.3726,3.074e-08,4.295e-05,4.87e-05,-18.89,-23.66,0.0579,0.2895,0.02684,-0.03107,4520000,-2815000,2.25,-2.25
PV_max_347,ws,ws,ws,23.8,13040000,31.64,3353000,1.219,15.48,0.01784,3.603e-08,5.191e-05,5.72e-05,-35.43,-35.66,0.0558,0.279,0.02774,-0.02805,12050000,-11710000,2.75,-2.25
PV_max_348,ws,ws,ws,24.81,13390000,25.77,3412000,1.079,17.4,-0.6125,3.386e-08,4.786e-05,5.176e-05,-29.23,-28.88,0.06084,0.3042,0.01987,-0.04096,10770000,-10550000,2.5,-2.75
PV_max_349,ws,ws,ws,25.65,11660000,21.57,3452000,1.26,19.17,-0.8188,3.112e-08,4.33e-05,4.76e-05,-19.56,-23.09,0.06162,0.3081,0.02016,-0.04147,5031000,-3427000,2.25,-2.75
PV_max_350,ws,ws,ws,24.08,14840000,28.57,3402000,0.9403,16,-0.4166,3.629e-08,5.206e-05,5.563e-05,-40.24,-36.71,0.05777,0.2888,0.02057,-0.0372,14390000,-14480000,2.75,-2.75
PV_max_351,ws,wo,tm,24.37,13320000,29.85,3472000,1.166,16.53,-0.5328,3.253e-08,5.045e-05,5.507e-05,-30.46,-30.62,0.05798,0.2899,0.02006,-0.03792,10890000,-11090000,2.5,-2.5
PV_max_352,ws,wo,tm,24.9,11450000,26.95,3528000,1.382,17.57,-0.7382,2.988e-08,4.725e-05,5.224e-05,-20.8,-24.09,0.05742,0.2871,0.01887,-0.03855,4714000,-4567000,2.25,-2.5
