Corner,VDD,VSS,cap_scs,mos_scs,res_scs,temperature,DCGain,GBW,PM,Zin_val,Zout_val,ICMR_Max,ICMR_Min,Out_Swing_Max,Out_Swing_Min,PSRR_VDD_1MHz,PSRR_VSS_1MHz,Vout_Sin_Max,Vout_Sin_Min,Iout_Sin_Max,Iout_Sin_Min
PVT_156,2.5,-2.75,ws,wp,tm,25,26.06,4991000,83.7,7512000,3.424,2.069,-2.503,2.314,-2.503,1.65e-05,0.0001831,pending,pending,pending,pending
PVT_157,2.5,-2.75,ws,wp,tm,-25,25.9,5433000,83.98,6498000,2.868,2.091,-2.513,2.331,-2.544,1.174e-05,0.0001708,pending,pending,pending,pending
PVT_158,2.5,-2.75,ws,wp,tm,85,26.41,4657000,83.1,8628000,4.067,2.05,-2.453,2.298,-2.453,2.349e-05,0.0001918,pending,pending,pending,pending
PVT_159,2.75,-2.75,ws,wp,tm,25,24.75,4605000,86.12,7125000,3.207,2.276,-2.512,2.552,-2.53,1.788e-05,0.0001984,pending,pending,pending,pending
PVT_160,2.75,-2.75,ws,wp,tm,-25,24.73,5116000,86.42,6176000,2.684,2.301,-2.514,2.569,-2.567,1.261e-05,0.0001833,pending,pending,pending,pending
PVT_161,2.75,-2.75,ws,wp,tm,85,24.87,4224000,85.51,8171000,3.815,2.256,-2.486,2.536,-2.486,2.593e-05,0.0002123,pending,pending,pending,pending
PVT_162,2.25,-2.25,tm,ws,tm,25,33.47,5653000,70.02,11330000,5.641,1.889,-1.635,2.092,-1.635,5.718e-05,0.0001393,1.478,-1.46,0.0292,-0.02957
PVT_163,2.25,-2.25,tm,ws,tm,-25,35.15,7409000,68.04,10250000,4.73,1.91,-1.724,2.108,-1.724,4.012e-05,0.0001094,pending,pending,pending,pending
PVT_164,2.25,-2.25,tm,ws,tm,85,31.85,4357000,71.8,12360000,6.678,1.867,-1.539,2.076,-1.539,7.617e-05,0.0001719,1.475,-1.438,0.02877,-0.0295
PVT_165,2.5,-2.25,tm,ws,tm,25,33.48,6107000,71.1,10780000,5.13,2.104,-1.804,2.331,-1.804,5.253e-05,0.0001301,1.48,-1.478,0.02957,-0.02961
PVT_166,2.5,-2.25,tm,ws,tm,-25,34.67,7747000,70.07,9629000,4.284,2.127,-1.886,2.347,-1.886,3.848e-05,0.0001064,1.483,-1.47,0.0294,-0.02965
PVT_167,2.5,-2.25,tm,ws,tm,85,32.17,4847000,71.9,11850000,6.102,2.081,-1.707,2.314,-1.707,6.806e-05,0.0001568,1.478,-1.476,0.02952,-0.02955
PVT_168,2.75,-2.25,tm,ws,tm,25,31.68,5645000,74.85,10050000,4.709,2.312,-1.916,2.568,-1.916,5.7e-05,0.0001448,1.481,-1.486,0.02972,-0.02962
PVT_169,2.75,-2.25,tm,ws,tm,-25,31.78,6422000,74.96,8761000,3.92,2.337,-1.978,2.585,-1.978,4.633e-05,0.0001315,1.483,-1.476,0.02951,-0.02966
PVT_170,2.75,-2.25,tm,ws,tm,85,31.36,4842000,74.32,11260000,5.621,2.288,-1.837,2.551,-1.837,6.746e-05,0.0001596,1.479,-1.489,0.02978,-0.02958
PVT_171,2.25,-2.5,tm,ws,tm,25,34.3,6743000,69.31,10670000,5.136,1.875,-1.89,2.081,-1.89,4.622e-05,0.0001162,1.477,-1.512,0.03023,-0.02955
PVT_172,2.25,-2.5,tm,ws,tm,-25,35.88,8860000,68.07,9580000,4.29,1.896,-1.993,2.097,-1.993,3.144e-05,9.205e-05,1.48,-1.513,0.03025,-0.0296
PVT_173,2.25,-2.5,tm,ws,tm,85,32.71,5207000,70.74,11720000,6.108,1.854,-1.775,2.065,-1.775,6.327e-05,0.0001433,1.474,-1.506,0.03013,-0.02948
PVT_174,2.5,-2.5,tm,ws,tm,25,34.04,7134000,70.52,10160000,4.714,2.088,-2.056,2.319,-2.056,4.38e-05,0.000112,1.479,-1.514,0.03028,-0.02959
PVT_175,2.5,-2.5,tm,ws,tm,-25,34.97,8818000,70.53,8985000,3.925,2.112,-2.144,2.336,-2.144,3.157e-05,9.372e-05,1.482,-1.513,0.03027,-0.02963
PVT_176,2.5,-2.5,tm,ws,tm,85,32.87,5666000,71.57,11260000,5.626,2.067,-1.947,2.302,-1.947,5.776e-05,0.0001336,1.477,-1.512,0.03025,-0.02954
PVT_177,2.75,-2.5,tm,ws,tm,25,31.94,6348000,74.68,9443000,4.36,2.296,-2.159,2.557,-2.159,4.916e-05,0.0001289,1.48,-1.515,0.0303,-0.0296
PVT_178,2.75,-2.5,tm,ws,tm,-25,31.76,7008000,75.39,8154000,3.622,2.322,-2.224,2.574,-2.224,3.946e-05,0.0001203,1.482,-1.514,0.03028,-0.02964
PVT_179,2.75,-2.5,tm,ws,tm,85,31.89,5607000,74.08,10700000,5.217,2.273,-2.075,2.539,-2.075,5.844e-05,0.0001387,1.478,-1.515,0.0303,-0.02956
PVT_180,2.25,-2.75,tm,ws,tm,25,34.97,7916000,68.77,10090000,4.718,1.859,-2.153,2.069,-2.153,3.757e-05,9.953e-05,1.476,-1.515,0.03029,-0.02952
PVT_181,2.25,-2.75,tm,ws,tm,-25,36.43,10250000,68.22,9002000,3.929,1.88,-2.268,2.085,-2.268,2.462e-05,7.976e-05,1.479,-1.513,0.03026,-0.02958
PVT_182,2.25,-2.75,tm,ws,tm,85,33.44,6079000,70.34,11150000,5.631,1.839,-2.021,2.053,-2.021,5.307e-05,0.0001222,1.473,-1.515,0.03029,-0.02945
PVT_183,2.5,-2.75,tm,ws,tm,25,34.43,8099000,70.79,9601000,4.363,2.072,-2.312,2.307,-2.312,3.672e-05,9.889e-05,1.478,-1.515,0.0303,-0.02957
PVT_184,2.5,-2.75,tm,ws,tm,-25,35.05,9693000,71.08,8409000,3.626,2.095,-2.403,2.324,-2.403,2.591e-05,8.509e-05,1.481,-1.513,0.03027,-0.02961
PVT_185,2.5,-2.75,tm,ws,tm,85,33.45,6537000,71.19,10740000,5.221,2.051,-2.194,2.29,-2.194,4.942e-05,0.0001162,1.476,-1.516,0.03032,-0.02951
PVT_186,2.75,-2.75,tm,ws,tm,25,32.07,6970000,74.86,8906000,4.062,2.279,-2.405,2.544,-2.405,4.241e-05,0.0001172,1.479,-1.516,0.03031,-0.02958
PVT_187,2.75,-2.75,tm,ws,tm,-25,31.68,7571000,76.02,7631000,3.37,2.304,-2.472,2.561,-2.472,3.312e-05,0.0001117,1.481,-1.514,0.03027,-0.02962
PVT_188,2.75,-2.75,tm,ws,tm,85,32.29,6335000,73.87,10200000,4.87,2.256,-2.316,2.526,-2.316,5.099e-05,0.0001231,1.477,-1.517,0.03034,-0.02954
PVT_189,2.25,-2.25,wp,ws,tm,25,33.47,5661000,70.01,11320000,5.642,1.889,-1.635,2.092,-1.635,5.724e-05,0.0001392,1.478,-1.46,0.0292,-0.02957
PVT_190,2.25,-2.25,wp,ws,tm,-25,35.15,7419000,68.02,10240000,4.73,1.91,-1.724,2.108,-1.724,4.016e-05,0.0001094,pending,pending,pending,pending
PVT_191,2.25,-2.25,wp,ws,tm,85,31.85,4363000,71.79,12350000,6.679,1.867,-1.539,2.076,-1.539,7.624e-05,0.0001718,1.475,-1.439,0.02877,-0.0295
PVT_192,2.5,-2.25,wp,ws,tm,25,33.48,6115000,71.09,10770000,5.131,2.104,-1.804,2.331,-1.804,5.258e-05,0.00013,pending,pending,pending,pending
PVT_193,2.5,-2.25,wp,ws,tm,-25,34.67,7758000,70.06,9620000,4.285,2.127,-1.886,2.347,-1.886,3.853e-05,0.0001064,1.483,-1.47,0.0294,-0.02965
