Corner,cap_scs,mos_scs,res_scs,DC_Gain_dB,BW_3dB,PM,Zin_1MHz,Zout_1MHz,DC_Gain_Abs,DC_Bias_Output,In_Ref_Noise,PSRR_P,PSRR_N,HD2,HD3,Iout_p2p,Gm,Iout_Sin_Max,Iout_Sin_Min,SR_Pos,SR_Neg,VDD,VSS
PV_mid_95,tm,wo,wp,21.37,14310000,44.29,3384000,1.128,11.71,0.07116,3.924e-08,6.573e-05,7.414e-05,-38.73,-41.45,0.04269,0.2134,0.02199,-0.0207,12240000,-13480000,2.75,-2.25
PV_mid_96,tm,wo,wp,21.5,14780000,41.07,3433000,0.9994,11.89,-0.5396,3.835e-08,6.681e-05,7.403e-05,-48.34,-41.59,0.0433,0.2165,0.01084,-0.03246,8866000,-12000000,2.5,-2.75
PV_mid_97,tm,wo,wp,20.2,13200000,46.47,3439000,1.16,10.23,-0.7333,3.92e-08,7.765e-05,8.735e-05,-45.54,-46.17,0.03802,0.1901,0.004699,-0.03332,4745000,-7118000,2.25,-2.75
PV_mid_98,tm,wo,wp,21.94,16460000,39.35,3436000,0.8744,12.51,-0.3542,3.904e-08,6.345e-05,6.958e-05,-42.37,-41.22,0.04565,0.2282,0.01526,-0.03039,12840000,-15470000,2.75,-2.75
PV_mid_99,tm,wo,ws,21.11,13820000,43.28,3413000,1.142,11.37,-0.3232,3.868e-08,6.904e-05,7.729e-05,-45.99,-42.12,0.0415,0.2075,0.01414,-0.02736,8757000,-11540000,2.5,-2.5
PV_mid_100,tm,wo,ws,19.56,12180000,49.97,3422000,1.345,9.511,-0.5145,4.018e-08,8.228e-05,9.352e-05,-46.81,-47.89,0.03568,0.1784,0.007781,-0.0279,4606000,-6823000,2.25,-2.5
PV_mid_101,tm,wo,ws,21.69,15290000,41.88,3413000,0.9873,12.14,-0.1388,3.912e-08,6.464e-05,7.162e-05,-40.4,-41.38,0.0443,0.2215,0.01874,-0.02555,12750000,-14710000,2.75,-2.5
PV_mid_102,tm,wo,ws,20.63,12810000,47.64,3389000,1.323,10.76,-0.1105,3.914e-08,7.14e-05,8.138e-05,-43.69,-42.73,0.03943,0.1971,0.01722,-0.02221,8461000,-10700000,2.5,-2.25
PV_mid_103,tm,wo,ws,18.82,11010000,53.5,3403000,1.583,8.725,-0.2982,4.146e-08,8.75e-05,0.0001013,-47.25,-49.96,0.03313,0.1656,0.01071,-0.02242,4409000,-6401000,2.25,-2.25
PV_mid_104,tm,wo,ws,21.37,14310000,44.29,3384000,1.128,11.71,0.07116,3.924e-08,6.573e-05,7.414e-05,-38.73,-41.45,0.04269,0.2134,0.02199,-0.0207,12240000,-13480000,2.75,-2.25
PV_mid_105,tm,wo,ws,21.5,14780000,41.07,3433000,0.9994,11.89,-0.5396,3.835e-08,6.681e-05,7.403e-05,-48.34,-41.59,0.0433,0.2165,0.01084,-0.03246,8866000,-12000000,2.5,-2.75
PV_mid_106,tm,wo,ws,20.2,13200000,46.47,3439000,1.16,10.23,-0.7333,3.92e-08,7.765e-05,8.735e-05,-45.54,-46.17,0.03802,0.1901,0.004699,-0.03332,4745000,-7118000,2.25,-2.75
PV_mid_107,tm,wo,ws,21.94,16460000,39.35,3436000,0.8744,12.51,-0.3542,3.904e-08,6.345e-05,6.958e-05,-42.37,-41.22,0.04565,0.2282,0.01526,-0.03039,12840000,-15470000,2.75,-2.75
PV_mid_108,tm,wz,tm,22.62,18220000,31.21,3452000,0.7475,13.52,-0.001408,3.708e-08,6.166e-05,6.198e-05,-33.53,-39.26,0.04912,0.2456,0.02296,-0.02616,11540000,-15150000,2.5,-2.5
PV_mid_109,tm,wz,tm,22.97,16050000,30.96,3458000,0.861,14.08,-0.2077,3.485e-08,5.928e-05,6.092e-05,-36.68,-37.31,0.05047,0.2523,0.02014,-0.03032,6339000,-8527000,2.25,-2.5
PV_mid_110,tm,wz,tm,22.17,20030000,32.53,3448000,0.659,12.84,0.1966,3.915e-08,6.51e-05,6.434e-05,-31.79,-41.13,0.04701,0.2351,0.02545,-0.02156,15470000,-18430000,2.75,-2.5
PV_mid_111,tm,wz,tm,22.33,16730000,34.61,3419000,0.8518,13.08,0.2023,3.705e-08,6.228e-05,6.405e-05,-32.2,-39.04,0.04731,0.2366,0.02586,-0.02145,11230000,-13850000,2.5,-2.25
PV_mid_112,tm,wz,tm,22.61,14810000,33.63,3431000,0.9961,13.51,0.0009953,3.488e-08,6.03e-05,6.339e-05,-34.66,-37.15,0.04821,0.2411,0.0229,-0.02531,6099000,-7718000,2.25,-2.25
PV_mid_113,tm,wz,tm,21.88,18710000,35.15,3407000,0.7415,12.41,0.3963,3.911e-08,6.559e-05,6.633e-05,-30.88,-40.99,0.04546,0.2273,0.02845,-0.01701,15230000,-17260000,2.75,-2.25
PV_mid_114,tm,wz,tm,22.89,19550000,28.25,3478000,0.6639,13.94,-0.2091,3.712e-08,6.095e-05,6.03e-05,-34.86,-39.38,0.05066,0.2533,0.0198,-0.03086,11560000,-16020000,2.5,-2.75
PV_mid_115,tm,wz,tm,23.26,17570000,28.11,3480000,0.755,14.55,-0.4192,3.485e-08,5.829e-05,5.894e-05,-38.93,-37.45,0.05239,0.262,0.01713,-0.03526,6510000,-9292000,2.25,-2.75
PV_mid_116,tm,wz,tm,22.41,21250000,31.15,3479000,0.5917,13.2,-0.008622,3.92e-08,6.447e-05,6.271e-05,-32.64,-41.15,0.04833,0.2416,0.02219,-0.02614,15240000,-19540000,2.75,-2.75
PV_mid_117,tm,wz,wp,22.62,18220000,31.21,3452000,0.7475,13.52,-0.001408,3.708e-08,6.166e-05,6.198e-05,-33.53,-39.26,0.04912,0.2456,0.02296,-0.02616,11540000,-15150000,2.5,-2.5
PV_mid_118,tm,wz,wp,22.97,16050000,30.96,3458000,0.861,14.08,-0.2077,3.485e-08,5.928e-05,6.092e-05,-36.68,-37.31,0.05047,0.2523,0.02014,-0.03032,6339000,-8527000,2.25,-2.5
PV_mid_119,tm,wz,wp,22.17,20030000,32.53,3448000,0.659,12.84,0.1966,3.915e-08,6.51e-05,6.434e-05,-31.79,-41.13,0.04701,0.2351,0.02545,-0.02156,15470000,-18430000,2.75,-2.5
PV_mid_120,tm,wz,wp,22.33,16730000,34.61,3419000,0.8518,13.08,0.2023,3.705e-08,6.228e-05,6.405e-05,-32.2,-39.04,0.04731,0.2366,0.02586,-0.02145,11230000,-13850000,2.5,-2.25
PV_mid_121,tm,wz,wp,22.61,14810000,33.63,3431000,0.9961,13.51,0.0009953,3.488e-08,6.03e-05,6.339e-05,-34.66,-37.15,0.04821,0.2411,0.0229,-0.02531,6099000,-7718000,2.25,-2.25
PV_mid_122,tm,wz,wp,21.88,18710000,35.15,3407000,0.7415,12.41,0.3963,3.911e-08,6.559e-05,6.633e-05,-30.88,-40.99,0.04546,0.2273,0.02845,-0.01701,15230000,-17260000,2.75,-2.25
PV_mid_123,tm,wz,wp,22.89,19550000,28.25,3478000,0.6639,13.94,-0.2091,3.712e-08,6.095e-05,6.03e-05,-34.86,-39.38,0.05066,0.2533,0.0198,-0.03086,11560000,-16020000,2.5,-2.75
PV_mid_124,tm,wz,wp,23.26,17570000,28.11,3480000,0.755,14.55,-0.4192,3.485e-08,5.829e-05,5.894e-05,-38.93,-37.45,0.05239,0.262,0.01713,-0.03526,6510000,-9292000,2.25,-2.75
PV_mid_125,tm,wz,wp,22.41,21250000,31.15,3479000,0.5917,13.2,-0.008622,3.92e-08,6.447e-05,6.271e-05,-32.64,-41.15,0.04833,0.2416,0.02219,-0.02614,15240000,-19540000,2.75,-2.75
PV_mid_126,tm,wz,ws,22.62,18220000,31.21,3452000,0.7475,13.52,-0.001408,3.708e-08,6.166e-05,6.198e-05,-33.53,-39.26,0.04912,0.2456,0.02296,-0.02616,11540000,-15150000,2.5,-2.5
PV_mid_127,tm,wz,ws,22.97,16050000,30.96,3458000,0.861,14.08,-0.2077,3.485e-08,5.928e-05,6.092e-05,-36.68,-37.31,0.05047,0.2523,0.02014,-0.03032,6339000,-8527000,2.25,-2.5
